video_id,question_id,timestamp (s),question_type,question,correct_answer
50f03610-3e09-478c-bfe0-6e60239de5b4,15,134.0,book-related,"which page am i on in the book, and what key events are mentioned?",page 270
70276030-3e9a-4cfc-bca1-839c5e37c51a,15,139.2,book-related,which book do i need to reference for my bookkeeping studies?,double entry bookkeeping
84389a11-7dc2-4e1d-80b1-e44d8787424a,15,143.5,book-related,what's the weather like today?,partly cloudy
93c33de2-3003-4dd0-817e-8aada9e62531,15,140.2,book-related,which grade are the exercises from?,1 класс
957482b6-f12f-4111-983d-9a7e3b8aba22,15,141.0,book-related,where can i find information on value added/product/income in my textbook?,section 4.1
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,15,141.2,book-related,where do i place the book gambler's luck？,on the stack of green and yellow books
badca629-9d3a-4e30-903a-dbc6ea65a7e8,15,145.3,book-related,what title is on the book cover that i was holding？,swami vivekananda
bd2a9fd1-7d4b-49ee-b3bf-4e7db9a805f2,15,140.7,book-related,what is the theme of this book?,history & philosophy
bf6af69c-6a69-44f9-8530-4a7f54359d14,15,133.5,book-related,where do i find the book titled writing for life?,on the floor next to me
cf6f0815-ac72-477e-9569-b934712d6077,15,128.5,book-related,where do i find more books similar to the one titled swami vivekananda?,in the stack in front of me
e0858be5-80b9-45d2-8e78-8985bd4ff6af,15,144.7,book-related,what is the subject of this chapter of the magazine?,prized possessions
115404d7-b34b-4319-a521-5a80b4ff886b,1,29.0,gameplay,what brand of pool table am i playing on?,valley
167502d6-961b-4d31-bf40-cc8febecc1da,1,26.2,gameplay,which player has more tokens on the table right now?,the player with the red tokens
1fdf634f-edbb-4985-a350-93161b783135,1,21.0,gameplay,which direction should i move my piece to reach the home space from the start space?,move clockwise around the board
20a1f8b7-9f5a-4a1d-8f5b-df6949e5c377,1,22.3,gameplay,where are the letter tiles for the scrabble game kept?,inside the scrabble box
25e6b575-830d-40af-b731-6753231c38c6,1,22.2,gameplay,what is the game we're about to play?,sorry!
293f6799-01e3-485c-8e89-bfd0e0c7b545,1,21.2,gameplay,what is written on the black box on the left side of the table?,ultra pro deck box
2bd35fd2-e8ac-464c-a08b-33893898951b,1,11.8,gameplay,what is the difficulty rating of the yellow route i'm trying to climb?,44
34f1d4e9-56c1-4c19-84bb-8c44fa9b2e58,1,15.5,gameplay,what is the board game we are about to play?,sorry!
3864791e-acbd-4126-b04a-1706b6557594,1,21.8,gameplay,what's the name of the box game we are setting up and playing?,checkers
39b6ed4d-c5cb-4ad9-922b-6fda4e4a1531,1,27.7,gameplay,where do i place the spray bottle labeled 6-1 after using it?,on the shelf above the table
3f881d06-273d-4595-a69b-001a7dae2164,1,17.0,gameplay,what brand of water is available on the table?,hint
42629ce2-6a50-4efa-b839-4e32532456cd,1,21.2,gameplay,what is the significance of the number 2 on the green card she is holding?,it identifies the value of the card in the game
49e903f2-4e66-4480-9394-fb9db85091e1,1,21.5,gameplay,what does stable alt-a-holic refer to?,a board game where players build a stable of horses using various strategies
4b02b09f-b90a-4647-a826-0efccccf3aca,1,22.3,gameplay,what is the title of the game we are about to play?,scrabble
57c9f3a3-b00c-4921-aaaf-bcdf7b6a0573,1,53.3,gameplay,"what model of tv am i watching, and is it connected to the gaming console below it?","sony; yes, it is connected"
58bcfeff-f742-4ee3-93a2-ca243b35edfe,1,24.3,gameplay,what drink options do we have on the table for our snack time?,pepsi
5a0f95f0-5761-4c20-a73c-6c8e037306d8,1,21.7,gameplay,what is the board game on the table?,sorry!
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,1,23.0,gameplay,what zones are present on the game board?,safety zone
6c3c8013-9e4d-46a8-9d1b-1fa1c489a501,1,22.8,gameplay,which winery is mentioned on the person's hoodie?,peace water winery
742dd0fc-018f-4e1f-b2fb-e04d38c97894,1,22.3,gameplay,"what does the sign above the doorway say, and what does it reflect?","blessed, reflecting a positive and welcoming atmosphere"
781536fa-f052-4e3c-8239-dbc28ed880c8,1,2.5,gameplay,where is a first aid kit?,"next to the door, it is on the cintas box"
79ad9e72-d6c4-4d40-bf32-92e9dd6a42dc,1,22.8,gameplay,what’s the name on the sweatshirt the person across from me is wearing?,race water winery
7a4b6862-42e7-47ad-8d1d-27e27236da3d,1,17.8,gameplay,"i want to learn more about quantum field theory,which book should i refer to?",the book titled quantum field theory.
7d14bb84-2496-43ef-9536-2f210a138f04,1,22.7,gameplay,what is the game we are about to play?,jenga
7d3c981a-6e18-4474-ac1e-956817fc1d0e,1,27.7,gameplay,which card do i place on the table after the 9 of clubs?,a queen card
80e5c962-37d4-4394-825c-e4c81b539e78,1,21.2,gameplay,where is the chinese checkers?,next to the christmas tree
8762f76f-cc2f-4681-aa57-08ddb1b3a4df,1,24.3,gameplay,where are the new york cheddar chips?,on the table next to other snacks
87861220-b7d5-4c45-b1db-6ec199dba753,1,19.7,gameplay,what do i need to do to use the focus group card effectively in this game?,look at the text on the focus group card and follow any instructions written there
8fc01fbe-195c-4511-99af-6d34d634aeb5,1,21.7,gameplay,what colors are the tokens?,red and blue
9247ab03-c532-4f3c-af9b-2e6801d582e7,1,21.2,gameplay,what is the game we are playing?,sequence
933e411f-cf4d-4432-acb2-a9ab2fabf32a,1,21.2,gameplay,what is the game we are playing today?,parcheesi
a064f40d-14f6-49f5-a354-9604c3617c47,1,28.5,gameplay,what is the game we are about to play?,dominoes
a58c7c40-9419-4da1-8e70-897d6a773b5f,1,22.2,gameplay,which words are currently on the scrabble board that use the letter 'w'?,we
a82044db-ea6c-4187-9990-961b24fc3f1d,1,19.7,gameplay,what magazine is currently on the coffee table?,ghtv
b1345ec8-f29a-417b-b40a-fb362942584d,1,21.2,gameplay,what does clue on the game box refer to?,the board game we are about to play
b81dfe21-7041-4631-9ad5-c64f6d5a76c0,1,21.0,gameplay,what are the rules for playing uno in this game session we're starting?,"each player is dealt 7 cards, and the rest form the draw pile"
bc0d6ea4-9146-459a-a89d-fc4527dc26a5,1,15.2,gameplay,what is the brand of the cards we're using right now?,bicycle
dc23d8f7-1007-4ef6-9583-e5c3fb3b4f8a,1,24.3,gameplay,what cards do i have in my hand right now?,"hearts 1 2 q, diamonds 9, 10, clubs1 , 5, 10"
dc57bdf1-a014-4e83-a632-1722e82b08dc,1,21.2,gameplay,who is the artist?,roy lichtenstein
dc57e99a-b31e-424a-9be7-fd03cbe4a6d9,1,20.5,gameplay,what is the puzzle i am working on?,spacerail
df72c519-0b7d-44c5-ad89-6268b04559ab,1,21.3,gameplay,what are the names of the games?,"jenga, sorry!"
e06849ca-1988-434e-ad69-757f60086ef8,1,8.8,gameplay,what is the highest number seen on the resource hex tiles?,12
e0a1114b-8f38-4d3d-a6d1-e238e17ee4ce,1,29.2,gameplay,what games are these blocks used for?,play a game of jenga
e111ae28-bac3-45a8-88d1-383a8248a09a,1,28.5,gameplay,what are the rules for playing dominoes?,on the dominoes paper being held
e168619d-e485-4a3d-9a18-7f594cea40ff,1,21.0,gameplay,what is the game as seen on the tin?,spot it!
e3d158ec-b7f9-4449-8a10-f63e279120d9,1,23.3,gameplay,which game are we playing right now?,jenga
167502d6-961b-4d31-bf40-cc8febecc1da,2,26.2,gameplay,where are the blue game pieces stored when not in use?,in the sectioned plastic tray in the box
1f884f3b-e571-4752-91a3-84b095f66761,2,21.2,gameplay,where should i place the skip card to make the best strategic move?,place it on top of the current card in the discard pile
293f6799-01e3-485c-8e89-bfd0e0c7b545,2,21.2,gameplay,which box on the table is labeled ultra pro deck box?,the black box on the right
2bd35fd2-e8ac-464c-a08b-33893898951b,2,11.8,gameplay,where is the starting point for the blue route labeled with a 20?,on the left side of the climbing wall
3864791e-acbd-4126-b04a-1706b6557594,2,21.8,gameplay,what is the number of dice on the table,3
46f1fb76-18b1-4ca0-bfe4-8c11e25f6831,2,21.2,gameplay,how many steps are there in this process?,6
49e903f2-4e66-4480-9394-fb9db85091e1,2,21.5,gameplay,where is more information or instructions available for stable alt-a-holic?,on the box of stable alt-a-holic
4cff84ac-1ef1-4cb7-ba6d-58288ae47b47,2,22.7,gameplay,what is the game we're playing?,uno
51bfe83e-0f25-4187-9500-5be749ab0bfb,2,23.7,gameplay,what is the game on the blue box?,squirrel trap
5a0f95f0-5761-4c20-a73c-6c8e037306d8,2,21.7,gameplay,where is the game board and pieces for the game sorry!?,on the table
5a742d9a-fc2b-4baf-885d-4b693c96d553,2,17.3,gameplay,which book is on the tablet?,atwood
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,2,23.0,gameplay,where do i need to move my piece to be safe from other players?,safety zone
5dd40095-2978-4845-93c7-2abd2d97a4ec,2,21.7,gameplay,what is the game we are playing?,sequence
5e1a2f50-665c-4f44-ace2-4b59d393367a,2,28.0,gameplay,what is being advertised?,bubble gum
781536fa-f052-4e3c-8239-dbc28ed880c8,2,2.5,gameplay,which company is responsible for the emergency services in this office?,cintas
7a4b6862-42e7-47ad-8d1d-27e27236da3d,2,17.8,gameplay,where is information about physics available?,in the book titled physics.
81210249-c611-461e-8a12-d522eddeea66,2,27.7,gameplay,where is more information availabe about the product labeled 61?,additional text on the container labeled 61
91d1a759-e3fc-4343-9355-2ea1b0a16040,2,18.5,gameplay,what is written on the bottle of water on the table?,hint
93abda95-532c-4a12-b31b-d20bf668e335,2,22.8,gameplay,where are the rules available for moving around the board in the sorry! game instructions?,under starting a pawn section
9bc6447a-38af-4d61-b36f-0d5396b5da8e,2,20.0,gameplay,what is the brand of the bottled water on the table?,dasani
a82044db-ea6c-4187-9990-961b24fc3f1d,2,19.7,gameplay,what board game we are planning to play?,jenga
c4dce11a-fbcd-472a-b350-ba2c4989b8fd,2,6.7,gameplay,where can i find information about the rules for trading resources in catan?,on the red card next to the hexagonal board
dc57bdf1-a014-4e83-a632-1722e82b08dc,2,21.2,gameplay,where is the full image reference?,on the puzzle box
dc5f3958-2600-4354-a445-e270e3b12a51,2,18.0,gameplay,what's the name of the game box next to me?,wingspan
df72c519-0b7d-44c5-ad89-6268b04559ab,2,21.3,gameplay,where is the doritos?,the doritos bag on the table
e111ae28-bac3-45a8-88d1-383a8248a09a,2,28.5,gameplay,where is the exploding kittens card box?,it was placed back on the table
e43e9b53-a1be-4218-94b6-4839577a7725,2,27.2,gameplay,which type of card is closest to the deck boxes?,uno cards
115404d7-b34b-4319-a521-5a80b4ff886b,3,50.8,gameplay,where is another valley branded pool table?,near the current one
167502d6-961b-4d31-bf40-cc8febecc1da,3,49.0,gameplay,what color are the tokens that i am holding in my friend's hand while we play connect 4?,red
1fdf634f-edbb-4985-a350-93161b783135,3,56.0,gameplay,"which area should i move my piece from, and to which area should i move it?",from the safety zone to the home
2bd35fd2-e8ac-464c-a08b-33893898951b,3,56.2,gameplay,which routes are rated with a difficulty level of 51?,routes with red holds on the left
33a6cc3e-8f1f-4cc3-a82c-9b785aef077e,3,51.0,gameplay,which words formed on the board use more than one e?,leven
34f1d4e9-56c1-4c19-84bb-8c44fa9b2e58,3,45.0,gameplay,who should go first according to the rules of the sorry! game?,the youngest player or the oldest player.
3659a309-fdb0-4bc9-86ec-f180dd6233cf,3,51.2,gameplay,what color was the last card played by my opponent before my turn?,red
3e0b211e-5152-4928-bfa4-66c13181892f,3,41.2,gameplay,which team's activity or program might i be participating in?,a program or activity related to the trojans
420fa606-4ef8-4d55-9666-6a0dfd2d8675,3,52.2,gameplay,"who is wearing the lng t-shirt, and what is he doing?","the man,holding playing cards"
46f1fb76-18b1-4ca0-bfe4-8c11e25f6831,3,46.3,gameplay,what instruction is given next after step 3 out of 6?,forward
49e903f2-4e66-4480-9394-fb9db85091e1,3,51.2,gameplay,which item on the table seems to be associated with the text adoas?,the cap
5cdea21a-43b7-4d6d-8d5e-575bd81d07a7,3,46.5,gameplay,what purpose could  xr 6.0 serve in this setup?,likely a folding stool for sitting
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,3,52.8,gameplay,which area do i need to reach to win the game?,home
742dd0fc-018f-4e1f-b2fb-e04d38c97894,3,51.7,gameplay,if the word blessed is positioned in a way that guests would notice it easily when they enter the room?,yes
7ffe7952-a631-4e5b-8057-97c12f2b31ed,3,42.2,gameplay,what action should i take next based on the cards my opponent has laid out in front of them?,play the 2 of hearts
d9808f8d-d318-4c66-bdf2-50b9dacfbee4,3,51.2,gameplay,where are the pill bottles placed around the table?,near the back wall
e375ae41-4061-427a-9886-8a405876ae7e,3,48.5,gameplay,where are the cards stacked?,in the middle of the table
e3d158ec-b7f9-4449-8a10-f63e279120d9,3,51.8,gameplay,what's the name of the jenga set on the package?,the party crasher
02537eb2-048b-4b33-bc11-78924ee14843,4,112.8,gameplay,what is the board game we are playing?,clue
092b7cce-a28e-4ace-b5f5-f8d1b3f905b7,4,51.2,gameplay,what is the game we are playing?,chinese checkers
115404d7-b34b-4319-a521-5a80b4ff886b,4,50.8,gameplay,what is the brand of the lighting?,coors light
1c1c9e3b-2392-4de9-a0cf-3d53ef302353,4,51.2,gameplay,which card game are we playing?,poker
276e6832-5665-49e7-9cf8-c466b6d0ba5d,4,54.5,gameplay,what brand is the soda on the table?,pepsi
33a6cc3e-8f1f-4cc3-a82c-9b785aef077e,4,51.0,gameplay,what words can i form using the letters to incorporat the word leven on the board?,level
34f1d4e9-56c1-4c19-84bb-8c44fa9b2e58,4,45.0,gameplay,where do i need to place my game pieces to start the game?,on the start spot on the board
420fa606-4ef8-4d55-9666-6a0dfd2d8675,4,52.2,gameplay,what is the brand of the shirt the man sitting at the table is wearing?,lng
4d18e5cf-a2a9-46a9-871a-094c3ae05394,4,36.5,gameplay,what magazine am i planning to read that's on the table?,living
51bfe83e-0f25-4187-9500-5be749ab0bfb,4,36.5,gameplay,what game instructions are in the squirrel box package that we might need to follow?,instructions for the game squirrel trap
5cdea21a-43b7-4d6d-8d5e-575bd81d07a7,4,46.5,gameplay,what type of coffee creamer should i use for my coffee?,coffee mate
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,4,52.8,gameplay,where should i place my pawn to start the game?,in the 'start' zone
7c08a850-b438-49fb-b907-55751f6d79e2,4,51.2,gameplay,what game am i playing?,chinese checkers
7d14bb84-2496-43ef-9536-2f210a138f04,4,56.2,gameplay,where do i place the jenga box after taking out the blocks?,on the table next to the jenga tower
91d1a759-e3fc-4343-9355-2ea1b0a16040,4,52.8,gameplay,what kind of beverage options do i have?,hint water and simply orange juice
93abda95-532c-4a12-b31b-d20bf668e335,4,51.0,gameplay,which zone do i need to enter to bring my pieces home?,safety zone
98debf95-c91b-42b4-8e9a-ee225e09468c,4,55.7,gameplay,what number cards do i have in my hand that are higher than 8?,"9, q, k"
b491bea1-a8bc-4e55-b844-ffe7ed93181e,4,54.5,gameplay,what card should i play next to form a pair?,7 of hearts
bc0d6ea4-9146-459a-a89d-fc4527dc26a5,4,51.0,gameplay,what cards do i have that are part of a sequence?,4-5-6-7-8 of hearts
cf668a4b-7a29-4969-9e71-b6951184b032,4,51.2,gameplay,what game am i about to play?,uno
d1095dbf-c235-4975-94a8-e125573bdb7d,4,50.2,gameplay,what is the board game we're setting up?,clue
dc57bdf1-a014-4e83-a632-1722e82b08dc,4,51.2,gameplay,"where on the puzzle box does it display the artist’s name, roy lichtenstein?",on the bottom left corner
0b0aaab2-b3da-48f8-b5f1-10af319e4f4d,5,56.7,gameplay,where are the instructions for setting up the sorry! board game?,on the table
0cb0effe-ca4e-4606-9183-b48c80b59e3a,5,53.8,gameplay,where can i get something to drink?,on the left side of the table
115404d7-b34b-4319-a521-5a80b4ff886b,5,50.8,gameplay,"where are most people gathered, and what are they doing?","near arcade machines, playing games"
1c1c9e3b-2392-4de9-a0cf-3d53ef302353,5,51.2,gameplay,what brand is the hat on the table?,adoas
34f1d4e9-56c1-4c19-84bb-8c44fa9b2e58,5,45.0,gameplay,how can i reach home?,the home spots on the board
49e903f2-4e66-4480-9394-fb9db85091e1,5,51.2,gameplay,where is a board game to play after this card game?,on the table to the right
5cdea21a-43b7-4d6d-8d5e-575bd81d07a7,5,46.5,gameplay,"i want to snack while waiting for my coffee to brew, which snack option is near the coffee maker?",doritos
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,5,52.8,gameplay,which zones on the board should i avoid to prevent being sent back to start?,the 'slides' zones
65b3da0a-30f0-4c5f-9cc0-f4667f2bd792,5,51.2,gameplay,what is the person wearing this college of wooster dad shirt doing with the wooden blocks?,playing a game
781536fa-f052-4e3c-8239-dbc28ed880c8,5,74.5,gameplay,where is the console or device that's running minecraft?,on the middle shelf below the tv
8a56a3ae-ea3d-470d-b4ff-7bbde1091246,5,76.3,gameplay,where is the hero gallery to check out different characters?,on the main screen
8fc01fbe-195c-4511-99af-6d34d634aeb5,5,51.2,gameplay,where is the ace of spades located on the board?,bottom-right corner
9247ab03-c532-4f3c-af9b-2e6801d582e7,5,50.8,gameplay,where are the remaining blue chips that i can use?,near the box labeled sequence
a064f40d-14f6-49f5-a354-9604c3617c47,5,44.0,gameplay,which two games are available on the table?,exploding kittens and dominoes
a58c7c40-9419-4da1-8e70-897d6a773b5f,5,51.0,gameplay,how many words on the board have the letter e in them?,8
b0fd69e6-223c-4030-ab07-1bd1549bdf30,5,35.8,gameplay,how many face cards are currently in my hand?,2
b491bea1-a8bc-4e55-b844-ffe7ed93181e,5,54.5,gameplay,where is the highest-value card on the table among the cards my opponent has played?,king of hearts
dc23d8f7-1007-4ef6-9583-e5c3fb3b4f8a,5,42.2,gameplay,what game are the people frames playing?,a card game
dc57bdf1-a014-4e83-a632-1722e82b08dc,5,51.2,gameplay,what part of the image is already completed?,the lips
e0a1114b-8f38-4d3d-a6d1-e238e17ee4ce,5,31.5,gameplay,where are the instructions for setting up the game?,on the jenga game box
e168619d-e485-4a3d-9a18-7f594cea40ff,5,39.2,gameplay,where is the person with the nasa t-shirt ?,across the table
0433c96e-751b-47c5-8fe8-f2a33397ef8e,6,148.7,gameplay,what games might we play?,poker
0b0aaab2-b3da-48f8-b5f1-10af319e4f4d,6,79.5,gameplay,"which pieces do i need to begin the sorry! game, and where are they located on the table?","the deck of cards and game pieces, inside the sorry! box on the table"
293f6799-01e3-485c-8e89-bfd0e0c7b545,6,81.2,gameplay,what color is the other player's deck box?,yellow
2a6680cf-05f4-47e8-9eed-bd46351bcb86,6,88.3,gameplay,where is the information available on how to proceed with the next step in our game?,on a printed instruction sheet on the table
39b6ed4d-c5cb-4ad9-922b-6fda4e4a1531,6,80.7,gameplay,where is the item labeled 6 - 1 located?,on the left side of the shelf
4cff84ac-1ef1-4cb7-ba6d-58288ae47b47,6,82.5,gameplay,where is the rule sheet during our uno game?,in the other person's hand
5dd40095-2978-4845-93c7-2abd2d97a4ec,6,81.2,gameplay,what is the objective of the game?,to be the first to get a sequence of five chips
7e631664-cb72-419e-a1c4-381e98a45a60,6,81.2,gameplay,which of my cards will give me the best advantage in this turn?,the wild card
856e0121-d1a7-4cdc-874a-eb6547cab042,6,79.7,gameplay,where are the emergency exits in this room?,near the corner with red exit signs
88bee3d8-1eac-449a-a638-0f3360ceb092,6,80.3,gameplay,what information is written on the note beside the snacks?,handwritten text
8a56a3ae-ea3d-470d-b4ff-7bbde1091246,6,112.8,gameplay,which character is currently highlighted on the screen and what can i learn about them?,"winston, featured in the play section"
8a661321-133c-4efd-ae03-d7d002053d05,6,117.3,gameplay,"which drink should i grab that's on the table, and do i need to get another one from the kitchen?","gatorade, no need to get another"
8fc01fbe-195c-4511-99af-6d34d634aeb5,6,81.2,gameplay,what is the game we are playing?,sequence
9ab61374-a2e0-4313-8b54-605926079de2,6,76.3,gameplay,which letters do we use in the bottom left corner ?,t、i、n、t
b491bea1-a8bc-4e55-b844-ffe7ed93181e,6,71.5,gameplay,which cards in my hand could potentially complete a flush?,"9 of clubs, king of clubs"
d1095dbf-c235-4975-94a8-e125573bdb7d,6,82.3,gameplay,which delivery company is mentioned on the shirt of the person sitting across from me?,fedex
d9808f8d-d318-4c66-bdf2-50b9dacfbee4,6,81.7,gameplay,where is my notebook?,on the table near the pink blanket
dc23d8f7-1007-4ef6-9583-e5c3fb3b4f8a,6,66.7,gameplay,what item are right next to the water bottle on the left side of the table?,a adoas hat
dd3eeed6-d3b9-44df-872f-21edef703282,6,82.5,gameplay,where is the uno card deck?,to the left side of the table
e111ae28-bac3-45a8-88d1-383a8248a09a,6,85.3,gameplay,which items could be used for a game night?,"the items include the exploding kittens game box, the dominoes, and the playing cards"
276e6832-5665-49e7-9cf8-c466b6d0ba5d,7,77.8,gameplay,where are the snacks labeled new york cheddar?,on the table near the drinks
2cfe1c0c-d57c-4faa-bcfe-a9228edb7997,7,79.7,gameplay,what rules are mentioned for climbers on the yellow wall?,"train hard, climb harder"
420fa606-4ef8-4d55-9666-6a0dfd2d8675,7,82.3,gameplay,what brand is written on the cap on the table and how many water bottles are beside it?,"adoas, two"
46f1fb76-18b1-4ca0-bfe4-8c11e25f6831,7,88.0,gameplay,what options are available for navigation on the screen?,"back, forward"
4791396e-7a0f-4848-b653-c4dbc1c367f5,7,81.2,gameplay,what does the text on the man's shirt say?,poppy
49e903f2-4e66-4480-9394-fb9db85091e1,7,81.2,gameplay,what does the person in front of me have written on their shirt?,lrg
4b2618eb-cda9-46a7-83e1-4997531f6371,7,82.7,gameplay,what's the significance of the text cintas ?,a service provider responsible for certain maintenance or supplies in the space
4d18e5cf-a2a9-46a9-871a-094c3ae05394,7,81.5,gameplay,where is the latest issue of living magazine?,in the magazine holder next to the sofa
58bcfeff-f742-4ee3-93a2-ca243b35edfe,7,85.3,gameplay,where is the packet of new york cheddar snacks?,on the table near the blue pepsi cans
71851280-d5e7-4385-968c-5f82a395c37f,7,82.3,gameplay,"what is the board game on the table, and does it look like we are about to play it?","connect 4,no"
73c2710b-8165-469c-bcc9-4ed79eec687a,7,83.5,gameplay,what is the number of the first visible card on the bottom right side of the table?,8
768446a7-d392-416a-ba1c-86d301f7ca5c,7,76.3,gameplay,"what words can i create using the letters g, r, a, d, i, and n that are connected to existing words on the board?",drain
7f918a83-87f2-440b-8df7-4a0fccf61e20,7,82.8,gameplay,what brand of snacks are on the table next to the paper towel roll?,pringles
84017c05-770f-4ba3-951b-2f7bc129ee6f,7,76.8,gameplay,"what's the name of the design or graphic on the guy's blue t-shirt, and what it refers to?",at-at; it refers to a vehicle from a popular science fiction movie series
91d1a759-e3fc-4343-9355-2ea1b0a16040,7,77.7,gameplay,what is the brand of the remote on the table?,sony
98debf95-c91b-42b4-8e9a-ee225e09468c,7,72.8,gameplay,how many cards in my hand are from the number 9?,2
a82044db-ea6c-4187-9990-961b24fc3f1d,7,84.5,gameplay,where is the aed device?,on the wall next to the black door
cd9571ee-3e6c-4362-88d4-8c7a33329bf9,7,81.2,gameplay,what is written on the shirt of the person i am working with?,poppy
d3d7a2c6-a466-43eb-ae53-374777374927,7,79.5,gameplay,"when i play a yellow 1 card, what color card should i play next?",yellow card
d9537697-a20b-43d8-ae1e-63dd151627a9,7,79.8,gameplay,what is the game we're playing?,jenga
e25e9b61-560b-4e18-b148-c39d67e044b1,7,81.2,gameplay,which word is written on the cushion behind the person?,idd
e43e9b53-a1be-4218-94b6-4839577a7725,7,82.5,gameplay,what game does the box on the left shown?,uno
34f1d4e9-56c1-4c19-84bb-8c44fa9b2e58,8,65.5,gameplay,what’s the color associated with the home space on the board?,green red blue yellow
3659a309-fdb0-4bc9-86ec-f180dd6233cf,8,81.2,gameplay,what card do my opponent play before i placed the red 9 card?,red 8
3f881d06-273d-4595-a69b-001a7dae2164,8,81.2,gameplay,where should i put the hint water bottle to avoid knocking it over?,on the shelf next to the tv
5db8ead8-2530-4f60-8ac2-4bf2b4cabd8e,8,71.0,gameplay,"i draw a card that says 2 and land on a slide space, what do i need to do?",slide to the end of the slide
5dd40095-2978-4845-93c7-2abd2d97a4ec,8,81.2,gameplay,which color chips am i using in the game?,red
65b3da0a-30f0-4c5f-9cc0-f4667f2bd792,8,81.0,gameplay,which board game is sitting on the floor next to my leg?,chinese checkers
6abbaf21-1ae3-4b31-93ef-e94305a2a709,8,81.2,gameplay,where is the text explaining the game rules for our card game?,on the paper on the table
73c2710b-8165-469c-bcc9-4ed79eec687a,8,83.5,gameplay,what is the suit of the third visible card on the bottom right side of the table?,diamonds
7d3c981a-6e18-4474-ac1e-956817fc1d0e,8,75.8,gameplay,what is the first card played by the other person after i dealt?,9 of diamonds
7f918a83-87f2-440b-8df7-4a0fccf61e20,8,82.8,gameplay,where is the hat with the adoas logo placed?,next to the bottled water
8762f76f-cc2f-4681-aa57-08ddb1b3a4df,8,85.3,gameplay,where is the drink labeled pepsi?,on the table next to the water bottles
902f71e0-ca70-459e-90ed-5e82ed6798be,8,82.8,gameplay,where should i place my adoas cap after this game?,next to the water bottle
98debf95-c91b-42b4-8e9a-ee225e09468c,8,72.8,gameplay,which card i'm missing to make a five-card straight?,4
9caf5ff0-c1f6-4dda-88ce-744dd9ac0ff1,8,81.7,gameplay,which brand is on the man's shirt dealing the cards?,lng
a017142a-8b5c-4b1f-ad5b-a20ec080d673,8,80.0,gameplay,where is the 'start' area on the game board of 'sorry!'?,the area marked with a red circle
a82044db-ea6c-4187-9990-961b24fc3f1d,8,84.5,gameplay,what brand is the aed device?,zoll
df72c519-0b7d-44c5-ad89-6268b04559ab,8,84.0,gameplay,where is snack with the text doritos on it ?,it is on the table
1fdf634f-edbb-4985-a350-93161b783135,9,105.0,gameplay,what are the initial setup steps for the game sorry! ?,placing the sorry! board on the table and setting the pieces at the start area
276e6832-5665-49e7-9cf8-c466b6d0ba5d,9,105.3,gameplay,what brand of beverage is placed near the snacks?,pepsi
33a6cc3e-8f1f-4cc3-a82c-9b785aef077e,9,111.3,gameplay,where is the definition of the word scent in the dictionary?,towards the end of the dictionary
3864791e-acbd-4126-b04a-1706b6557594,9,112.3,gameplay,where do we place the black and white checkers before starting the game?,on the table beside the ‘ideal’ board
42629ce2-6a50-4efa-b839-4e32532456cd,9,111.2,gameplay,"are there any special cards (like wild or skip) in my hand, and what are they?",draw two
4791396e-7a0f-4848-b653-c4dbc1c367f5,9,111.2,gameplay,which color pieces do i need to use next?,purple
58bcfeff-f742-4ee3-93a2-ca243b35edfe,9,102.3,gameplay,which snacks should we pair with the pepsi for our gathering?,new york cheddar
71851280-d5e7-4385-968c-5f82a395c37f,9,111.0,gameplay,"which another item is on the table, and does it require more than one player?","the connect 4 game box, yes"
7d3c981a-6e18-4474-ac1e-956817fc1d0e,9,114.7,gameplay,which card do i place down next to the notebook?,ace of hearts
7ffe7952-a631-4e5b-8057-97c12f2b31ed,9,106.3,gameplay,"are there any aces on the table, and if so, where exactly are they placed?","yes,near two other cards"
8fc01fbe-195c-4511-99af-6d34d634aeb5,9,111.2,gameplay,where is the sequence game box placed in relation to the board?,at the top right corner of the board
a82044db-ea6c-4187-9990-961b24fc3f1d,9,101.5,gameplay,which direction should i go to find the emergency equipment displayed on the wall?,towards the white wall with the black door
bb84e749-103d-44a6-9afb-d0e48e906b69,9,111.2,gameplay,where is the 'uno' card in the stack?,on top of the pile
cc04ee00-ae07-49ed-9614-0cf62685c9ef,9,120.0,gameplay,how many twos do i have ?,three
d9537697-a20b-43d8-ae1e-63dd151627a9,9,112.2,gameplay,where is the box kept after we take out the jenga pieces?,on the table
0b0aaab2-b3da-48f8-b5f1-10af319e4f4d,10,113.3,gameplay,what is the board game that we're about to play?,sorry!
0cb0effe-ca4e-4606-9183-b48c80b59e3a,10,109.5,gameplay,what brand of cards are we using for this game?,las vegy
2a6680cf-05f4-47e8-9eed-bd46351bcb86,10,108.8,gameplay,what is written on the person's sweatshirt?,face water wineay
311b92dd-d60d-4413-9d94-525c17a24edf,10,135.0,gameplay,what is the game?,giant jenga
3659a309-fdb0-4bc9-86ec-f180dd6233cf,10,111.2,gameplay,which card game are we playing?,uno
